reponse.csv,,
ID,Phrase,Audio
967,Agissez envers les autres comme vous aimeriez qu’ils agissent envers vous.,0967.wav
968,"Celui qui, après avoir commis une faute, ne cherche pas à la corriger, en commet une autre.",0968.wav
969,"Toute personne engagée dans une mauvaise passe, peut revenir dans le droit chemin.",0969.wav
970,Tout le monde peut être important car tout le monde peut servir à quelque chose.,0970.wav
971,Ce ne sont pas les mauvaises herbes qui étouffent les graines mais la négligence du paysan.,0971.wav
972,"Occupe-toi du soin de prévenir les crimes, pour diminuer le soin de les punir.",0972.wav
973,"Nous respirons tous un seul air, nous buvons tous une seule eau, nous vivons tous sur une seule terre. Nous devons tous la protéger.",0973.wav
974,"La couleur de la peau n’y change rien. Ce qui est bon et juste pour l’un est bon et juste pour l’autre, et nous sommes tous de la même famille.",0974.wav
975,Mieux vaut être vaincu sur le principe que de gagner sur des mensonges.,0975.wav
976,"Quand le ventre est plein, les oiseaux chantent et les humains rient.",0976.wav
977,Quoi de plus hypocrite qu’un pouvoir donné sans mode d’emploi et sans service après-vente ?,0977.wav
978,"Pour se rendre invisible, il n’y a pas de moyen plus sûr que de devenir pauvre.",0978.wav
979,La misère commence là où sévit la honte.,0979.wav
980,La pauvreté n’entame pas la dignité.,0980.wav
981,Le tiers monde n'est pas une réalité mais une idéologie.,0981.wav
982,"Le plus souvent dans l’Histoire, « anonyme » était une femme.",0982.wav
983,"Priver un individu de ses droits fondamentaux, c’est d’abord le priver de la capacité du politique.",0983.wav
984,"Être politique, vivre dans une polis, cela signifiait que toutes choses se décidait par la parole et la persuasion et non par la force ni la violence.",0984.wav
985,"Sans les masses, le chef n'existe pas.",0985.wav
986,"Personne n’est plus arrogant envers les femmes, plus agressif ou méprisant, qu’un homme inquiet pour sa virilité.",0986.wav
987,"Le racisme est bien plus clandestin, bien plus caché que tout autre phénomène, mais en même temps, il est peut-être plus dangereux qu’il ne l’a jamais été.",0987.wav
988,"Les filles et les femmes devraient pouvoir décider de leur avenir, quel que soit l’endroit où elles sont nées.",0988.wav
989,"Si vous savez que vous allez perdre, perdez la tête haute.",0989.wav
990,On a toujours tort de donner deux raisons : c'est qu'aucune n'est la bonne.,0990.wav
991,"J'ai toujours détesté l'inachevé. Les phrases qui restent en suspens, les paquets que l'on n’ouvre pas ou un personnage qui, inexplicablement, disparaît.",0991.wav
992,"À l'image du dos de la Tortue, où est inscrit le cycle de la vie, les valeurs démocratiques doivent être inscrites dans toutes nos prises de décision et agissements.",0992.wav
993,"L'organisation, à l'image du Bison, peut représenter cette richesse de ressources qu'elle met à notre disposition.",0993.wav
994,Nous devons rester conscients d'être nous-mêmes et non pas quelqu'un d'autre.,0994.wav
995,Rester intègres dans tous nos agissements nous permet de garder notre milieu sain et prospère.,0995.wav
996,"Lorsque nous sommes confrontés à des moments de détresse à cause de harcèlement ou de discrimination, l'Ours nous rappelle notre capacité à renverser la situation, en agissant avec courage et détermination.",0996.wav
997,Ce pourrait bien être une bataille perdue d’avance. Il est bien plus dur de lutter contre l’insignifiance que contre l’exploitation.,0997.wav
998,"En matière de transmission et de compréhension, l'erreur c'est de sous-estimer son interlocuteur.",0998.wav
999,Il est difficile à un humain rassasié de croire qu'un autre a faim.,0999.wav
1000,"Celui qui enseigne le bien aux autres, sans le faire, est semblable à l'aveugle qui porterait une lanterne.",1000.wav
1001,"Si tu vois les canines d'un lion bien apparentes, ne crois pas qu'il te sourit !",1001.wav
1002,"Si ton cœur est étroit, à quoi te sert que le monde soit vaste ?",1002.wav
1003,La mer ne se vante pas d'être salée.,1003.wav
1004,Ne coupe pas les ficelles quand tu pourrais défaire les nœuds.,1004.wav
1005,"La sagesse est préférable à la force, parce qu'elle exécute des choses dont la force ne peut venir à bout.",1005.wav
1006,La liane parvient au sommet d'un grand arbre en s'appuyant sur lui.,1006.wav
1007,L'humain est une prière qu'il faut sans cesse nourrir.,1007.wav
1008,Il faut savoir sacrifier la barbe pour sauver la tête.,1008.wav
1009,"Si pressée soit la mouche, elle doit attendre que sorte l'excrément.",1009.wav
1010,L'éléphant n'est pas fatigué de porter sa trompe.,1010.wav
1011,Ce n'est pas parce que le crocodile a soif qu'il sort de son marigot pour boire l'eau de la rosée du matin qui tombe sur les feuilles.,1011.wav
1012,Une pirogue n'est jamais trop grande pour chavirer.,1012.wav
1013,"La douleur est comme le riz dans un dépôt : si chaque jour on en prend un panier, à la fin il n'y en a plus.",1013.wav
1014,Ne jette pas la provision d'eau croupie de ta calebasse parce que la pluie s'annonce.,1014.wav
1015,Le baobab est très grand. Mais on ne peut en tirer un battant de porte.,1015.wav
1016,Manger avec les deux mains rassasie vite. Mais la faim revient bientôt.,1016.wav
1017,"À s'enrichir trop vite, on s'appauvrit.",1017.wav
1018,"Si tu ne sais pas où tu vas, alors retourne d'où tu viens.",1018.wav
1019,Celui qui marche à grands pas ne tient pas la distance.,1019.wav
1020,Celui qui sait qu’assez c’est assez en aura toujours suffisamment.,1020.wav
1021,"La nature fait les choses sans se presser, et pourtant tout est accompli.",1021.wav
1022,Celui qui veut dispenser la lumière doit connaître les ténèbres qu’il est amené à éclairer.,1022.wav
1023,Le sage ne rencontre pas de difficultés car il vit dans la conscience des difficultés. Et donc n’en souffre pas.,1023.wav
1024,Sache te satisfaire et tu ne subiras pas de disgrâce ; sache quand t’arrêter et tu ne rencontreras pas de danger.,1024.wav
1025,"Quelle belle conception les anciens avaient de la mort : repos des bons, terreur des méchants ! La mort, c’est l’épreuve de la vertu.",1025.wav
1026,Pas de plus grand malheur que d’être insatiable. Pas de pire fléau que l’esprit de convoitise. Qui sait se limiter aura toujours assez.,1026.wav
1027,"Observez l’ordre naturel des choses. Travaillez avec lui plutôt que contre lui, car essayer de changer ce qui est ne pourra que faire surgir une résistance.",1027.wav
1028,L’échec est le fondement de la réussite.,1028.wav
1029,"Si vous pensez que vous pouvez, vous pouvez. Et si vous pensez ne pas pouvoir, vous avez raison.",1029.wav
1030,"Le bonheur ne dépend pas de ce que l'on a, mais de ce que l'on fait avec ce que l'on a !",1030.wav
1031,Je pleurais parce que je n'avais pas de souliers jusqu'au jour où j'ai rencontré un humain qui n'avait pas de pied.,1031.wav
1032,"Quand on sait ce que l'on fait, on fait ce que l'on veut.",1032.wav
1033,"Ce qui fait l’humain, c'est sa grande faculté d'adaptation.",1033.wav
1034,Les lucioles sont en voie d'extinction.,1034.wav
1035,"Si tu veux la paix, prépare la guerre.",1035.wav
1036,J'aime les vieilles pierres ; elles ne transpirent pas.,1036.wav
1037,"Ce que nous devons faire ne se décide pas sur le plan de ce que nous pouvons faire. En revanche, ce que nous pouvons faire interroge ce que nous voulons être.",1037.wav
1038,"Parfois, la solution est plus douloureuse que le problème.",1038.wav
1039,Nous avons plus de force que de volonté ; et c’est souvent pour nous excuser à nous-mêmes que nous nous imaginons que les choses sont impossibles.,1039.wav
1040,La vie n'est pas un problème à résoudre mais une réalité qui doit être vécue.,1040.wav
1041,"Aussi longtemps que nous nous représentons la technique comme un instrument, nous restons pris dans la volonté de la maîtriser.",1041.wav
1042,Les religions sont comme des routes différentes convergeant vers un même point.,1042.wav
1043,"Ce n’est pas par la satisfaction des désirs que s’obtient la liberté, mais par la destruction du désir.",1043.wav
1044,"Le seul moyen de sauver un rhinocéros est de sauver l'environnement dans lequel il vit, parce qu'il y a une dépendance mutuelle entre lui et des millions d'autres espèces d'animaux et de plantes.",1044.wav
1045,"La nature est éternellement jeune, belle et généreuse. Elle possède le secret du bonheur, et nul n'a su le lui ravir.",1045.wav
1046,"Le monde déteste le changement, c'est pourtant la seule chose qui lui a permis de progresser.",1046.wav
1047,"Quand le dernier arbre aura été abattu, quand la dernière rivière aura été empoisonnée, quand le dernier poisson aura été péché, alors on saura que l'argent ne se mange pas.",1047.wav
1048,"Le plus difficile n'est pas d'avoir mal, mais de renoncer au bonheur.",1048.wav
1049,L'essence de la philosophie est qu'une personne devrait vivre de manière que son bonheur dépende aussi peu que possible de causes extérieures.,1049.wav
1050,Qui a le goût de l'absolu renonce par là au bonheur.,1050.wav
1051,"Le bonheur n'est pas un objet à posséder, c'est une qualité de pensée, un état d'âme.",1051.wav
1052,"Le vrai bonheur est la cause de nos actions, pas leur conséquence.",1052.wav
1053,"Le pire ennemi, c'est un bonheur de longue durée.",1053.wav
1054,On a dit de la beauté que c'était une promesse de bonheur. On n'a pas dit qu'elle serait tenue.,1054.wav
1055,Un bonheur vient rarement sans le malheur correspondant qui est la substance de toutes choses.,1055.wav
1056,L’excès ne vaut pas mieux que l’insuffisance.,1056.wav
1057,Tout passe comme l’eau d’une rivière.,1057.wav
1058,"Plutôt que de maudire les ténèbres, allumons une chandelle, si petite soit-elle.",1058.wav
1059,L’être sans vertu ne trouve dans les richesses que les moyens de satisfaire ses vices.,1059.wav
1060,"La personne sage apprend de ses erreurs, la personne plus sage apprend des erreurs des autres.",1060.wav
1061,"Par trois méthodes, nous pouvons apprendre la sagesse : tout d’abord, grâce à la réflexion, qui est la plus noble. En second lieu, par imitation, qui est la plus facile ; et la troisième par l’expérience, qui est la plus amère.",1061.wav
1062,L’expérience est une lanterne que l’on porte sur le dos et qui n’éclaire jamais que le chemin parcouru.,1062.wav
1063,Une personne dépourvue de sincérité et de fidélité est un être incompréhensible à mes yeux.,1063.wav
1064,Celui qui poursuit deux lapins à la fois n’en attrape aucun.,1064.wav
1065,"Qui ne progresse pas chaque jour, recule chaque jour.",1065.wav
1066,Dépasser les limites n’est pas un moindre défaut que de rester en-deçà.,1066.wav
1067,La vie est un cycle sans fin. Chacun de nous est responsable de ses propres actions. Elles nous reviendront.,1067.wav
1068,Ne compte pas tes poules avant de leur avoir coupé la tête.,1068.wav
1069,"L’être humain est un monstre d’habitudes, un animal monté avec œillères qui voit rarement plus loin que le bout de son nez.",1069.wav
1070,L’humanité a tenté de réduire la nature en esclavage mais n’a jamais complètement réussi à la soumettre. Chacun de ses soulèvements nous rappelle sa force et c’est pourquoi nous sommes timides quand il s’agit de négocier avec elle ; même si nous savons bien qu’un jour ou l’autre elle va nous renverser.,1070.wav
1071,L’humanité pille la nature mais la nature finit toujours par se venger.,1071.wav
1072,La ville écrase la forêt pour y installer son décor sans songer au bruit que ferait le chant de tous les oiseaux morts.,1072.wav
1073,"Si l’on vit assez longtemps, on voit que toute victoire se change un jour en défaite.",1073.wav
1074,"Rigide, le squelette des habitudes soutient seul la charpente humaine.",1074.wav
1075,À qui puis-je confier la tyrannie de ma propre passion ?,1075.wav
1076,"Si je tombe, ce sera la preuve que j’ai volé.",1076.wav
1077,"La plupart des experts sont d’accord, si le monde devait être détruit, ce serait très probablement par accident. C’est là que les experts de l’informatique entrent en scène. Ils provoquent des accidents.",1077.wav
1078,Les rêves donnent du travail.,1078.wav
1079,Le paradoxe est le moyen le plus tranchant et le plus efficace de transmettre la vérité aux endormis et aux distraits.,1079.wav
1080,Sauter dans un abysse en tenant un rocher.,1080.wav
1081,Trop est pire que peu.,1081.wav
1082,"Parfois, la nuit dure longtemps… Mais le jour finit toujours par arriver.",1082.wav
1083,Fais du bien à ton corps pour que ton âme ait envie d'y rester.,1083.wav
1084,"L'homme n'est pas né sur la terre pour corriger la nature, mais pour en être le fidèle gardien.",1084.wav
1085,Le Diable n'apparaît qu'à celui qui le craint.,1085.wav
1086,Assure-toi que la bougie est allumée avant d'éteindre l'allumette.,1086.wav
1087,La vision sans l'action est un rêve. L'action sans vision est un cauchemar.,1087.wav
1088,Si loin que nous portent nos pas… ils nous ramènent toujours à nous-mêmes.,1088.wav
1089,Avoir du mérite et avoir de la chance font deux.,1089.wav
1090,Le chemin du sage consiste à agir. Mais pas dans l’esprit de rivaliser.,1090.wav
1091,Les personnes remarquables sont celles qui n’ont jamais perdu la vision de leurs petitesses.,1091.wav
1092,Trop de succès engendre l’arrogance. Et l’arrogance provoque la chute.,1092.wav
1093,"Lorsqu’on a fait de grandes choses et obtenu de la gloire, il faut se retirer.",1093.wav
1094,"Si haut que l'on soit placé, on n'est jamais assis que sur son cul.",1094.wav
1095,"Ce n’est pas la girouette qui tourne, c’est le vent.",1095.wav
1096,"Certaines personnes sont comme des pièces de monnaie, elles ont deux faces mais, des fois, aucune valeur.",1096.wav
1097,"Si tu ne connais pas quelqu'un, appelle-le tout simplement « grand frère ».",1097.wav
1098,"L'être humain a deux grands problèmes : le premier est de savoir quand commencer, le second est de savoir quand s'arrêter.",1098.wav
1099,À une grande vanité près les héros sont faits comme les autres gens.,1099.wav
1100,"Si l’on peut trouver moins que rien, c’est que rien vaut déjà quelque chose.",1100.wav
1101,"Lorsque tu as aperçu le palmier, le palmier t'avait déjà vu.",1101.wav
1102,On ne se baigne jamais deux fois dans le même fleuve.,1102.wav
1103,Bien des gens agissent contre leur bonheur pour être fidèles à l'image qu'ils ont montrée à leurs amis…,1103.wav
1104,Le bonheur c'est la poursuite d'objectifs réalisables.,1104.wav
1105,Qu'aisément un esprit qui se laisse flatter s'imagine un bonheur qu'il pense mériter !,1105.wav
1106,"Comme le premier pas vers le bien est de ne point faire de mal, le premier pas vers le bonheur est de ne point faire souffrir.",1106.wav
1107,"Il est dans la nature humaine de goûter le malheur d'autrui, ne serait-ce que pour se donner l'illusion de son propre bonheur.",1107.wav
1108,Le masque du bonheur est peut-être le plus dur à porter.,1108.wav
1109,Dans l'état du triomphe on peut goûter une jouissance d'orgueil telle qu'elle donne l'illusion du bonheur. Mais cette surexcitation passagère est loin de la vraie et pure joie qui nous monte au cœur quand nous sommes seuls.,1109.wav
1110,Il faut avoir une bien piètre opinion des humains pour les juger selon leur fortune.,1110.wav
1111,"C'est un bonheur d'être d'une grande naissance, ce n'est pas un malheur d'être d'une médiocre ; le mérite console tout.",1111.wav
1112,"Le bonheur, c'est une station sur la route entre le pas assez et le trop.",1112.wav
1113,"Le bonheur est égal, soit qu'on le trouve dans une haute fortune ou dans une humble condition.",1113.wav
1114,"Comprendre que vous êtes heureux et savoir comment le rester, c'est plus que du bonheur, c'est la félicité.",1114.wav
1115,On ne possède pas le bonheur comme une acquisition définitive. Il s'agit à chaque instant de faire jaillir une étincelle de joie. Ne l'oublions pas : Souris au monde et le monde te sourira.,1115.wav
1116,C'est dans le mépris de l'ambition que doit se trouver l'un des principes essentiels du bonheur sur la terre.,1116.wav
1117,Le bonheur est un chien qui traverse une quatre voies.,1117.wav
1118,Le bonheur continu nous rend audacieux.,1118.wav
1119,La contemplation de certains bonheurs dégoûte du bonheur : quel orgueil ! c'est quand on est jeune surtout que la vue des félicités vulgaires vous donne la nausée de la vie.,1119.wav
1120,"Lorsque le malheur touche l’humain il est plein d'impatience ; et lorsque le bonheur l'atteint, il devient insolent.",1120.wav
1121,On ne fait pas son bonheur avec la place que l'on occupe mais avec son caractère.,1121.wav
1122,La réussite n'est souvent qu'une revanche sur le bonheur.,1122.wav
1123,Il entre inévitablement dans la composition de tout bonheur parfait l'idée de l'avoir mérité.,1123.wav
1124,La plus grande gloire n’est pas de ne jamais tomber mais de se relever à chaque chute.,1124.wav
1125,Appliquez-vous à garder en toute chose le juste milieu.,1125.wav
1126,"Le sage est ferme, il n’est pas obstiné.",1126.wav
1127,"L’herbe, si le vent vient à passer, s’incline nécessairement.",1127.wav
1128,La plus chétive cabane renferme plus de vertus que les palais des rois.,1128.wav
1129,"Ne parlez de vous ni en bien car on ne vous croirait pas, ni en mal car on ne vous croirait que trop.",1129.wav
1130,Faire quelque chose de remarquable vaut mieux qu’être remarqué.,1130.wav
1131,La personne supérieure regrette de voir sa vie s’écouler sans laisser après elle des actions dignes d’éloges.,1131.wav
1132,On peut connaître la vertu de quelqu’un en observant ses défauts.,1132.wav
1133,Toute méchanceté a sa source dans la faiblesse.,1133.wav
1134,"Pourquoi la beauté a-t-elle sur nous l'empire qu'elle exerce, pourquoi nous inspire-t-elle une étrange et sereine confiance ? Nul ne saurait le dire. Bien des gens s'y sont essayés, et c'est peut-être l'une des éternelles propriétés de la beauté que de susciter en l'esprit le désir de communiquer.",1134.wav
1135,"J'aurais honte de vous révéler l'âge que j'avais quand je m'aperçus qu'il n'y a rien de scandaleux à ce qu'un homme ait une maîtresse, ni à ce qu'une femme en soit une.",1135.wav
1136,Attention à la façon dont tu dénudes ton âme. Attention à ne pas la dénuder tout entière.,1136.wav
1137,Le Loup représente l'humilité grâce à son instinct de partage et de don de soi. Il travaille toujours dans le but de protéger sa famille et dans l'intérêt du bien-être de tout son clan.,1137.wav
1138,"D’abord ne pas nuire, voilà un précepte hippocratique que nous devrions appliquer plus souvent.",1138.wav
1139,"Ignorance et arrogance ne riment pas seulement, ils vont souvent de pair.",1139.wav
1140,"L'arrogance précède la ruine, l'orgueil précède la chute.",1140.wav
1141,La seule chose plus dangereuse que l'ignorance est l'arrogance.,1141.wav
1142,L'arrogance est la seule force que possèdent les vrais peureux.,1142.wav
1143,Une grenouille dans un étang ne connaît pas l’océan.,1143.wav
1144,Apprends la sagesse dans la sottise des autres.,1144.wav
1145,Il est impossible de se tenir debout en ce monde sans jamais se courber.,1145.wav
1146,"Si haut que parvienne une chose lancée, c'est à terre qu'elle retourne.",1146.wav
1147,"Quand on naît rond, on ne meurt pas carré.",1147.wav
1148,L'eau chaude n'oublie pas qu'elle a été froide.,1148.wav
1149,Apprends à écrire tes blessures dans le sable et à graver tes joies dans la pierre.,1149.wav
1150,"De l’argile, nous faisons un pot, mais c’est le vide à l’intérieur qui retient ce que nous voulons.",1150.wav
1151,"Si tes résultats ne sont pas à la hauteur de tes espérances, dis-toi que le grand chêne aussi, un jour, a été un gland.",1151.wav
1152,Être aimé profondément par quelqu’un vous donne de la force tandis qu’aimer profondément quelqu’un vous donne du courage.,1152.wav
1153,As-tu la patience d’attendre que la vase se dépose et que l’eau soit limpide ? Peux-tu attendre que l’action voulue s’élève par elle-même ?,1153.wav
1154,La vie est une succession de changements naturels. Ne résistez pas car cela ne générera que des soucis. Laissez la réalité être la réalité. Laissez faire naturellement les choses.,1154.wav
1155,Vivre ses rêves ou rêver sa vie ?,1155.wav
1156,"Quand tu veux faire quelque chose, ou tu trouves un moyen, ou tu trouves des excuses.",1156.wav
1157,"Nous aimons tous gagner, mais combien aiment s'entraîner ?",1157.wav
1158,"La motivation naît du but, comme le ruisseau naît de la source.",1158.wav
1159,"Ne sois pas découragé de la distance qui sépare ton rêve de la réalité. Si tu as été capable de le rêver, tu seras capable de le faire.",1159.wav
1160,"Nous gagnons plus à nous laisser voir tels que nous sommes, qu'à essayer de paraître ce que nous ne sommes pas.",1160.wav
1161,"Rêver une seule fois est un simple rêve, rêver deux fois, c’est le début de la réalité.",1161.wav
1162,"L'amour n'existe pas, il n'existe que les preuves de l'amour.",1162.wav
1163,Avant on avait des villes. Maintenant on a des magasins.,1163.wav
1164,Si tu n'éduques pas ton enfant c'est la vie qui va s'en charger.,1164.wav
1165,"Sans les doigts, la main serait une cuillère.",1165.wav
1166,Deviens ce que tu es.,1166.wav
1167,Le bonheur est une fin en soi.,1167.wav
1168,"On ne naît pas femme, on le devient.",1168.wav
1169,"Si tout est permis, rien n’est permis.",1169.wav
1170,L’œuvre d’art n’est pas la représentation d’une belle chose mais la belle représentation d’une chose.,1170.wav
1171,"La vie imite l’art, bien plus que l’art n’imite la vie.",1171.wav
1172,"Parmi les désirs, certains sont naturels, d’autres sont vains. Parmi les désirs naturels, certains sont nécessaires, d’autres sont simplement naturels.",1172.wav
1173,Il me semble que le monde naturel est la principale source d'excitation ; la plus grande source de beauté visuelle ; la plus grande source d'intérêt intellectuel. C'est la plus grande source de tellement dans la vie qui rend la vie digne d'être vécue.,1173.wav
1174,L'écologie tend à combler le fossé que l'industrie a creusé entre l’humanité et les animaux.,1174.wav
1175,"Va toujours par le chemin le plus court, et le plus court est le chemin tracé par la nature.",1175.wav
1176,Aujourd'hui la seule condition de survie réside dans l'établissement d'un rapport plus humble avec la planète.,1176.wav
1177,On ne triomphe de la nature qu'en lui obéissant.,1177.wav
1178,Le bonheur parfait est quelque chose de très proche de la tristesse.,1178.wav
1179,Le bonheur est la seule chose que l'on puisse donner sans l'avoir soi-même.,1179.wav
1180,"Le chocolat est ruine, bonheur, plaisir, amour, extase, fantaisie…",1180.wav
1181,"De l'argent… de l'argent… le bonheur, ça doit bien être de ne plus jamais entendre parler de ça.",1181.wav
1182,"Le problème avec le bonheur, c'est qu'en raison de sa rareté même il apparaît comme immensément terrifiant et angoissant d'en accepter l'offrande.",1182.wav
1183,"Pour moi, le bonheur, c'est d'abord d'être bien.",1183.wav
1184,"Poursuivre le bonheur, au lieu de le laisser venir, n'est-ce pas courir après le reflet d'un mot ? En fait, les gens seraient plus heureux si on leur parlait moins de bonheur !",1184.wav
1185,"Le bonheur, c'est de passer une bonne heure.",1185.wav
1186,"On dit que l'argent ne fait pas le bonheur. Peut-être, mais il vous permet en tout cas de choisir le genre de misère que vous préférez.",1186.wav
1187,Que doit-on préférer : un bonheur facile ou des souffrances élevées ?,1187.wav
1188,"L'espèce de bonheur qu'il me faut n'est pas tant de faire ce que je veux, que de ne pas faire ce que je ne veux pas.",1188.wav
1189,Le bonheur est une joie secrète qui se vit comme en songe.,1189.wav
1190,"Si les peines détruisent le bonheur, les plaisirs le dérangent.",1190.wav
1191,"L'argent ne fait pas le bonheur des veuves, mais il leur permet de choisir leur nouveau mari.",1191.wav
1192,Il n'est pas moins essentiel pour le bonheur de conserver des désirs que de les satisfaire.,1192.wav
1193,Mais qu'est-ce que le bonheur ? Il faudrait d'abord le définir et une définition du bonheur est encore moins évidente qu'une définition du progrès.,1193.wav
1194,"Les gens passent leur vie à chercher le bonheur. L'ironie, c'est qu'il n'y a qu'à regarder à l'intérieur de soi pour le trouver.",1194.wav
1195,"Si vous me demandez ce qu'est le suprême bonheur, ici-bas ? C'est d'écouter la chanson d'une petite fille qui s'éloigne après vous avoir demandé son chemin.",1195.wav
1196,Le bonheur n'est jamais grandiose.,1196.wav
1197,On est heureux quand on a dépassé l'inquiétude du bonheur.,1197.wav
1198,"Il est bien vrai que nous devons penser au bonheur d'autrui ; mais on ne dit pas assez que ce que nous pouvons faire de mieux pour ceux qui nous aiment, c'est encore d'être heureux.",1198.wav
1199,Un long bonheur s'affaiblit par le fait même de sa durée.,1199.wav
1200,La recherche du bonheur rend les gens tellement malheureux.,1200.wav
1201,"Le bonheur, cela ne s'installe pas dans la permanence, le malheur, oui.",1201.wav
1202,"Les courtes peines qui sont suivies de bonheur ne détruisent pas le goût des plaisirs, au contraire, elles l'aiguisent.",1202.wav
1203,Toutes les richesses du monde ne valent pas un instant de bonheur. Tous les pouvoirs du monde ne valent pas un moment d'amour. Toutes les puissances du monde ne valent pas un éclat de joie.,1203.wav
1204,Le bonheur a cela de la mer et du flux qu'il doit diminuer sitôt qu'il ne croît plus.,1204.wav
1205,"Le bonheur n'est pas situé dans les lointains, il n'est pas plus loin que la lune changeante.",1205.wav
1206,"L'obligation au bonheur est totalitaire, et c'est la tyrannie de l'époque.",1206.wav
1207,"Le bonheur, il est comme l'ombre, il nous suit et souvent nous n'en savons rien.",1207.wav
1208,Une vie de bonheur ! Il n'est pas d'humain capable de l'endurer : ce serait l'enfer sur terre.,1208.wav
1209,Le bonheur est une recherche. Il faut y employer l'expérience et son imagination.,1209.wav
1210,"L'argent n'achète pas le bonheur, mais au moins il vous paye tout le reste.",1210.wav
1211,"Le bonheur, c'est quand le temps s'arrête.",1211.wav
1212,"Lorsqu'on souffre une vraie souffrance, comme on regrette même un faux bonheur !",1212.wav
1213,"La richesse rend tout supportable, tandis qu'il n'y a pas de bonheur qui ne succombe à la misère.",1213.wav
1214,"Si tu veux comprendre le mot bonheur, il faut l'entendre comme récompense et non comme but.",1214.wav
1215,Une chute profonde mène souvent vers le plus grand bonheur.,1215.wav
1216,Personne n'est heureux. Et puis qu'est-ce qu'être heureux ? Puisque le bonheur s'arrête dès qu'on rallume la lumière.,1216.wav
1217,Le bonheur est un délicat équilibre entre ce que l'on est et ce que l'on a.,1217.wav
1218,"Je sais que la vie vaut la peine d'être vécue, que le bonheur est accessible, qu'il suffit de trouver sa vocation profonde et de se donner à ce qu'on aime avec un abandon total de soi.",1218.wav
1219,Le plaisir est plus rapide que le bonheur et le bonheur que la félicité.,1219.wav
1220,Les rêves prolongent du bonheur le doux sentiment.,1220.wav
1221,"Le bonheur ? Il est partout, quand on le cherche avec les yeux de la foi ; il est même dans la souffrance.",1221.wav
1222,Le bonheur suppose que l'on refuse de voir le monde tel qu'il est.,1222.wav
1223,"Le plus souvent, on cherche le bonheur comme on cherche ses lunettes, quand on les a sur le nez.",1223.wav
1224,On dit que l'argent ne fait pas le bonheur. Sans doute veut-on parler de l'argent des autres.,1224.wav
1225,Le parfait bonheur ne consiste qu'à rendre les gens heureux.,1225.wav
1226,"Le bonheur c'est un bon compte en banque, de la bonne cuisine et une bonne digestion.",1226.wav
1227,Le bonheur est toujours à la portée de celui qui sait le goûter.,1227.wav
1228,"Il ne faut pas de tout pour faire un monde. Il faut du bonheur, et rien d'autre.",1228.wav
1229,Il faudrait convaincre les êtres humains du bonheur qu'ils ignorent alors même qu'ils en jouissent.,1229.wav
1230,"Le bonheur n'étant pas éternel, pourquoi en serait-il autant du chagrin ou de la souffrance ?",1230.wav
1231,Il n'y a pas que le bonheur qui rend heureux.,1231.wav
1232,Et si le bonheur n'existe pas ? C'est que le malheur non plus n'existe pas. Et cela est un bonheur qui en vaut bien d'autres.,1232.wav
1233,On paye le bonheur de vivre par la peur de mourir.,1233.wav
1234,Le bonheur est une potiche posée sur le nez d'un mandarin ivre et qui éternue.,1234.wav
1235,Il n'est pas encore bien prouvé si le bonheur se compose des biens qu'on a ou de ceux qu'on croit avoir.,1235.wav
1236,"Rêver, c'est le bonheur ; attendre, c'est la vie.",1236.wav
1237,Le bonheur date de la plus haute Antiquité. Il est quand même tout neuf car il a peu servi.,1237.wav
1238,"Le bonheur, on ne le trouve pas, on le fait. Le bonheur ne dépend pas de ce qui nous manque, mais de la façon dont nous nous servons de ce que nous avons.",1238.wav
1239,Le bonheur est une sorte d'archipel composé d'instants heureux. Entre ces îlots il y a de l'errance et de la solitude.,1239.wav
1240,Un petit bonheur n'est pas le bonheur.,1240.wav
1241,"Dès qu'un humain cherche le bonheur il est condamné à ne pas le trouver. Quand il paraît être dans l'avenir, songez­?y bien, c'est que vous l'avez déjà. Espérer, c'est être heureux.",1241.wav
1242,Le bonheur ? Probablement une invention pour l’humanité.,1242.wav
1243,"L’être humain n'est pas une créature destinée au bonheur. Voilà. Il est confronté à cette angoisse qui n'existe pas chez l'animal : la conscience du futur. Et plus encore, celle de la mort.",1243.wav
1244,Le bonheur ! Quelqu'un t'a déjà dit ce que c'est ? Ça me paraît un fantôme après lequel tout le monde court et que personne ne réussit à attraper.,1244.wav
1245,"Il ne faut jamais penser au bonheur ; cela attire le diable, car c'est lui qui a inventé cette idée-là pour faire enrager le genre humain.",1245.wav
1246,Peut-être le bonheur n'est-il qu'un contraste mais il y a une foule de petits bonheurs qui suffisent pour parfumer la vie.,1246.wav
1247,"Le bonheur, c'est un choix.",1247.wav
1248,On parle trop souvent du bonheur. La seule chose qui toujours nous enivre se banalise dans sa douceur.,1248.wav
1249,"Nous ne sommes pour la plupart que les contemporains du bonheur ; on en parle autour de nous, mais nous mourrons sans l'avoir connu.",1249.wav
1250,Le bonheur est un ange au visage grave.,1250.wav
1251,"Le plaisir est le bonheur des fous, le bonheur est le plaisir des sages.",1251.wav
1252,"Les neuf dixièmes de notre bonheur reposent sur la santé. Avec elle, tout devient source de plaisir.",1252.wav
1253,"Ne cherche pas le chemin du bonheur, car le bonheur c’est le chemin !",1253.wav
1254,"Religion à part, le bonheur est de s'ignorer et d'arriver à la mort sans avoir senti la vie.",1254.wav
